Plan ID,渠道,标题,正文,触达成功,点击人次,发送日期
P0001,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩5份,快来领取优惠券 新人立减5元 免费配送,6259,4528,2026-08-01
P0001,短信,限时秒杀 免费麦辣鸡腿堡 仅剩51份,快来领取优惠券 新人立减5元 免费配送,47221,4397,2026-08-01
P0001,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩67份,快来领取优惠券 新人立减5元 免费配送,16433,1862,2026-08-01
P0001,短信,限时秒杀 免费麦辣鸡腿堡 仅剩76份,快来领取优惠券 新人立减5元 免费配送,28487,4848,2026-08-01
P0001,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩58份,快来领取优惠券 新人立减5元 免费配送,33286,3027,2026-08-01
P0001,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩42份,快来领取优惠券 新人立减5元 免费配送,41159,1044,2026-08-01
P0001,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩76份,快来领取优惠券 新人立减5元 免费配送,42297,2846,2026-08-01
P0001,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩32份,快来领取优惠券 新人立减5元 免费配送,2062,2320,2026-08-01
P0001,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩91份,快来领取优惠券 新人立减5元 免费配送,15448,3147,2026-08-01
P0001,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩43份,快来领取优惠券 新人立减5元 免费配送,28926,609,2026-08-01
P0001,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩19份,快来领取优惠券 新人立减5元 免费配送,46722,1892,2026-08-01
P0001,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩74份,快来领取优惠券 新人立减5元 免费配送,42563,4476,2026-08-01
P0001,短信,限时秒杀 免费麦辣鸡腿堡 仅剩88份,快来领取优惠券 新人立减5元 免费配送,5849,318,2026-08-01
P0001,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩82份,快来领取优惠券 新人立减5元 免费配送,13354,4818,2026-08-01
P0002,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩51份,快来领取优惠券 新人立减5元 免费配送,6998,3132,2026-08-01
P0002,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩5份,快来领取优惠券 新人立减5元 免费配送,40682,277,2026-08-01
P0002,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩24份,快来领取优惠券 新人立减5元 免费配送,48062,1114,2026-08-01
P0002,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩27份,快来领取优惠券 新人立减5元 免费配送,48654,600,2026-08-01
P0002,短信,限时秒杀 免费麦辣鸡腿堡 仅剩3份,快来领取优惠券 新人立减5元 免费配送,36667,3586,2026-08-01
P0002,短信,限时秒杀 免费麦辣鸡腿堡 仅剩13份,快来领取优惠券 新人立减5元 免费配送,18034,673,2026-08-01
P0002,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩10份,快来领取优惠券 新人立减5元 免费配送,43396,2566,2026-08-01
P0002,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩56份,快来领取优惠券 新人立减5元 免费配送,12817,600,2026-08-01
P0002,短信,限时秒杀 免费麦辣鸡腿堡 仅剩60份,快来领取优惠券 新人立减5元 免费配送,3580,4986,2026-08-01
P0002,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩90份,快来领取优惠券 新人立减5元 免费配送,26642,1733,2026-08-01
P0002,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩46份,快来领取优惠券 新人立减5元 免费配送,48946,3952,2026-08-01
P0002,短信,限时秒杀 免费麦辣鸡腿堡 仅剩22份,快来领取优惠券 新人立减5元 免费配送,46724,1766,2026-08-01
P0002,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩87份,快来领取优惠券 新人立减5元 免费配送,11368,1426,2026-08-01
P0002,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩68份,快来领取优惠券 新人立减5元 免费配送,17429,1060,2026-08-01
P0002,短信,限时秒杀 免费麦辣鸡腿堡 仅剩57份,快来领取优惠券 新人立减5元 免费配送,44621,1532,2026-08-01
P0002,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩61份,快来领取优惠券 新人立减5元 免费配送,45648,3457,2026-08-01
P0002,短信,限时秒杀 免费麦辣鸡腿堡 仅剩66份,快来领取优惠券 新人立减5元 免费配送,21410,3025,2026-08-01
P0002,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩85份,快来领取优惠券 新人立减5元 免费配送,17445,1356,2026-08-01
P0002,短信,限时秒杀 免费麦辣鸡腿堡 仅剩89份,快来领取优惠券 新人立减5元 免费配送,1815,3851,2026-08-01
P0002,短信,限时秒杀 免费麦辣鸡腿堡 仅剩11份,快来领取优惠券 新人立减5元 免费配送,23014,474,2026-08-01
P0003,短信,限时秒杀 免费麦辣鸡腿堡 仅剩36份,快来领取优惠券 新人立减5元 免费配送,9836,2067,2026-08-01
P0003,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩46份,快来领取优惠券 新人立减5元 免费配送,40985,2458,2026-08-01
P0003,短信,限时秒杀 免费麦辣鸡腿堡 仅剩46份,快来领取优惠券 新人立减5元 免费配送,39684,1184,2026-08-01
P0003,短信,限时秒杀 免费麦辣鸡腿堡 仅剩40份,快来领取优惠券 新人立减5元 免费配送,26429,3494,2026-08-01
P0003,短信,限时秒杀 免费麦辣鸡腿堡 仅剩11份,快来领取优惠券 新人立减5元 免费配送,1099,4970,2026-08-01
P0003,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩90份,快来领取优惠券 新人立减5元 免费配送,22915,1411,2026-08-01
P0003,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩29份,快来领取优惠券 新人立减5元 免费配送,42772,3771,2026-08-01
P0003,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩91份,快来领取优惠券 新人立减5元 免费配送,45156,4754,2026-08-01
P0003,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩5份,快来领取优惠券 新人立减5元 免费配送,27362,4748,2026-08-01
P0003,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩99份,快来领取优惠券 新人立减5元 免费配送,44397,483,2026-08-01
P0003,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩58份,快来领取优惠券 新人立减5元 免费配送,5186,2223,2026-08-01
P0003,短信,限时秒杀 免费麦辣鸡腿堡 仅剩21份,快来领取优惠券 新人立减5元 免费配送,30252,4421,2026-08-01
P0003,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩72份,快来领取优惠券 新人立减5元 免费配送,40582,100,2026-08-01
P0003,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩64份,快来领取优惠券 新人立减5元 免费配送,22361,2656,2026-08-01
P0003,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩7份,快来领取优惠券 新人立减5元 免费配送,28206,1640,2026-08-01
P0003,短信,限时秒杀 免费麦辣鸡腿堡 仅剩82份,快来领取优惠券 新人立减5元 免费配送,6470,1169,2026-08-01
P0003,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩52份,快来领取优惠券 新人立减5元 免费配送,45467,3520,2026-08-01
P0003,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩1份,快来领取优惠券 新人立减5元 免费配送,14993,217,2026-08-01
P0003,短信,限时秒杀 免费麦辣鸡腿堡 仅剩97份,快来领取优惠券 新人立减5元 免费配送,1154,4428,2026-08-01
P0003,短信,限时秒杀 免费麦辣鸡腿堡 仅剩13份,快来领取优惠券 新人立减5元 免费配送,13481,1074,2026-08-01
P0004,短信,限时秒杀 免费麦辣鸡腿堡 仅剩84份,快来领取优惠券 新人立减5元 免费配送,14009,2577,2026-08-01
P0004,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩89份,快来领取优惠券 新人立减5元 免费配送,12942,920,2026-08-01
P0004,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩51份,快来领取优惠券 新人立减5元 免费配送,42132,766,2026-08-01
P0004,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩36份,快来领取优惠券 新人立减5元 免费配送,30686,1048,2026-08-01
P0004,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩18份,快来领取优惠券 新人立减5元 免费配送,43832,4366,2026-08-01
P0004,短信,限时秒杀 免费麦辣鸡腿堡 仅剩83份,快来领取优惠券 新人立减5元 免费配送,23744,1042,2026-08-01
P0004,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩36份,快来领取优惠券 新人立减5元 免费配送,2217,446,2026-08-01
P0004,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩27份,快来领取优惠券 新人立减5元 免费配送,45629,2227,2026-08-01
P0004,短信,限时秒杀 免费麦辣鸡腿堡 仅剩41份,快来领取优惠券 新人立减5元 免费配送,25044,4748,2026-08-01
P0004,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩96份,快来领取优惠券 新人立减5元 免费配送,46962,4150,2026-08-01
P0004,短信,限时秒杀 免费麦辣鸡腿堡 仅剩83份,快来领取优惠券 新人立减5元 免费配送,31059,3667,2026-08-01
P0004,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩69份,快来领取优惠券 新人立减5元 免费配送,12684,1802,2026-08-01
P0004,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩76份,快来领取优惠券 新人立减5元 免费配送,20073,172,2026-08-01
P0004,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩20份,快来领取优惠券 新人立减5元 免费配送,18784,2831,2026-08-01
P0004,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩48份,快来领取优惠券 新人立减5元 免费配送,48087,867,2026-08-01
P0004,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩80份,快来领取优惠券 新人立减5元 免费配送,3337,437,2026-08-01
P0004,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩21份,快来领取优惠券 新人立减5元 免费配送,10792,4879,2026-08-01
P0004,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩47份,快来领取优惠券 新人立减5元 免费配送,26873,4593,2026-08-01
P0004,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩38份,快来领取优惠券 新人立减5元 免费配送,8529,4016,2026-08-01
P0004,短信,限时秒杀 免费麦辣鸡腿堡 仅剩31份,快来领取优惠券 新人立减5元 免费配送,4162,2622,2026-08-01
P0005,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩67份,快来领取优惠券 新人立减5元 免费配送,48753,680,2026-08-01
P0005,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩52份,快来领取优惠券 新人立减5元 免费配送,22529,2551,2026-08-01
P0005,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩14份,快来领取优惠券 新人立减5元 免费配送,7514,4694,2026-08-01
P0005,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩61份,快来领取优惠券 新人立减5元 免费配送,23090,2915,2026-08-01
P0005,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩62份,快来领取优惠券 新人立减5元 免费配送,8602,4177,2026-08-01
P0005,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩5份,快来领取优惠券 新人立减5元 免费配送,20785,2844,2026-08-01
P0005,短信,限时秒杀 免费麦辣鸡腿堡 仅剩88份,快来领取优惠券 新人立减5元 免费配送,11201,1464,2026-08-01
P0005,短信,限时秒杀 免费麦辣鸡腿堡 仅剩73份,快来领取优惠券 新人立减5元 免费配送,25613,812,2026-08-01
P0005,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩11份,快来领取优惠券 新人立减5元 免费配送,13978,1910,2026-08-01
P0005,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩50份,快来领取优惠券 新人立减5元 免费配送,1514,903,2026-08-01
P0005,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩72份,快来领取优惠券 新人立减5元 免费配送,35013,2474,2026-08-01
P0005,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩63份,快来领取优惠券 新人立减5元 免费配送,39331,1879,2026-08-01
P0005,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩11份,快来领取优惠券 新人立减5元 免费配送,25138,1903,2026-08-01
P0005,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩75份,快来领取优惠券 新人立减5元 免费配送,11917,3632,2026-08-01
P0005,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩46份,快来领取优惠券 新人立减5元 免费配送,8537,623,2026-08-01
P0005,短信,限时秒杀 免费麦辣鸡腿堡 仅剩4份,快来领取优惠券 新人立减5元 免费配送,35459,3799,2026-08-01
P0005,短信,限时秒杀 免费麦辣鸡腿堡 仅剩26份,快来领取优惠券 新人立减5元 免费配送,8792,4172,2026-08-01
P0005,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩33份,快来领取优惠券 新人立减5元 免费配送,14581,444,2026-08-01
P0005,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩80份,快来领取优惠券 新人立减5元 免费配送,10591,957,2026-08-01
P0005,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩59份,快来领取优惠券 新人立减5元 免费配送,25774,3062,2026-08-01
P0006,短信,限时秒杀 免费麦辣鸡腿堡 仅剩20份,快来领取优惠券 新人立减5元 免费配送,7864,4984,2026-08-01
P0006,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩19份,快来领取优惠券 新人立减5元 免费配送,37956,3425,2026-08-01
P0006,短信,限时秒杀 免费麦辣鸡腿堡 仅剩88份,快来领取优惠券 新人立减5元 免费配送,28737,4369,2026-08-01
P0006,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩87份,快来领取优惠券 新人立减5元 免费配送,22132,4183,2026-08-01
P0006,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩82份,快来领取优惠券 新人立减5元 免费配送,44913,1754,2026-08-01
P0006,短信,限时秒杀 免费麦辣鸡腿堡 仅剩79份,快来领取优惠券 新人立减5元 免费配送,15337,179,2026-08-01
P0006,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩91份,快来领取优惠券 新人立减5元 免费配送,49957,2707,2026-08-01
P0006,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩5份,快来领取优惠券 新人立减5元 免费配送,35413,1315,2026-08-01
P0006,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩78份,快来领取优惠券 新人立减5元 免费配送,11217,3204,2026-08-01
P0006,短信,限时秒杀 免费麦辣鸡腿堡 仅剩38份,快来领取优惠券 新人立减5元 免费配送,48063,3953,2026-08-01
P0006,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩11份,快来领取优惠券 新人立减5元 免费配送,34851,422,2026-08-01
P0006,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩29份,快来领取优惠券 新人立减5元 免费配送,9552,432,2026-08-01
P0006,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩2份,快来领取优惠券 新人立减5元 免费配送,30398,2808,2026-08-01
P0006,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩20份,快来领取优惠券 新人立减5元 免费配送,43997,3874,2026-08-01
P0006,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩65份,快来领取优惠券 新人立减5元 免费配送,26049,4440,2026-08-01
P0006,短信,限时秒杀 免费麦辣鸡腿堡 仅剩5份,快来领取优惠券 新人立减5元 免费配送,38609,842,2026-08-01
P0006,短信,限时秒杀 免费麦辣鸡腿堡 仅剩67份,快来领取优惠券 新人立减5元 免费配送,40330,725,2026-08-01
P0006,短信,限时秒杀 免费麦辣鸡腿堡 仅剩55份,快来领取优惠券 新人立减5元 免费配送,14507,2472,2026-08-01
P0006,短信,限时秒杀 免费麦辣鸡腿堡 仅剩77份,快来领取优惠券 新人立减5元 免费配送,28383,4050,2026-08-01
P0006,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩78份,快来领取优惠券 新人立减5元 免费配送,39429,2013,2026-08-01
P0007,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩85份,快来领取优惠券 新人立减5元 免费配送,1015,1590,2026-08-01
P0007,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩65份,快来领取优惠券 新人立减5元 免费配送,38372,2184,2026-08-01
P0007,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩9份,快来领取优惠券 新人立减5元 免费配送,33342,2246,2026-08-01
P0007,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩99份,快来领取优惠券 新人立减5元 免费配送,27743,3247,2026-08-01
P0007,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩8份,快来领取优惠券 新人立减5元 免费配送,11734,1143,2026-08-01
P0007,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩37份,快来领取优惠券 新人立减5元 免费配送,48805,2836,2026-08-01
P0007,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩5份,快来领取优惠券 新人立减5元 免费配送,32544,3523,2026-08-01
P0007,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩63份,快来领取优惠券 新人立减5元 免费配送,40450,768,2026-08-01
P0007,短信,限时秒杀 免费麦辣鸡腿堡 仅剩90份,快来领取优惠券 新人立减5元 免费配送,10920,2989,2026-08-01
P0007,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩5份,快来领取优惠券 新人立减5元 免费配送,41093,3919,2026-08-01
P0007,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩59份,快来领取优惠券 新人立减5元 免费配送,4082,931,2026-08-01
P0007,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩20份,快来领取优惠券 新人立减5元 免费配送,2325,365,2026-08-01
P0007,短信,限时秒杀 免费麦辣鸡腿堡 仅剩80份,快来领取优惠券 新人立减5元 免费配送,9696,2753,2026-08-01
P0007,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩90份,快来领取优惠券 新人立减5元 免费配送,36988,2939,2026-08-01
P0007,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩50份,快来领取优惠券 新人立减5元 免费配送,33133,1009,2026-08-01
P0007,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩79份,快来领取优惠券 新人立减5元 免费配送,46928,3927,2026-08-01
P0007,短信,限时秒杀 免费麦辣鸡腿堡 仅剩81份,快来领取优惠券 新人立减5元 免费配送,23142,1118,2026-08-01
P0007,短信,限时秒杀 免费麦辣鸡腿堡 仅剩92份,快来领取优惠券 新人立减5元 免费配送,41765,2527,2026-08-01
P0007,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩50份,快来领取优惠券 新人立减5元 免费配送,20254,1095,2026-08-01
P0007,短信,限时秒杀 免费麦辣鸡腿堡 仅剩25份,快来领取优惠券 新人立减5元 免费配送,3502,3311,2026-08-01
P0008,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩48份,快来领取优惠券 新人立减5元 免费配送,13483,3831,2026-08-01
P0008,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩81份,快来领取优惠券 新人立减5元 免费配送,5937,465,2026-08-01
P0008,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩63份,快来领取优惠券 新人立减5元 免费配送,17736,318,2026-08-01
P0008,短信,限时秒杀 免费麦辣鸡腿堡 仅剩86份,快来领取优惠券 新人立减5元 免费配送,38306,4784,2026-08-01
P0008,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩30份,快来领取优惠券 新人立减5元 免费配送,7126,4215,2026-08-01
P0008,短信,限时秒杀 免费麦辣鸡腿堡 仅剩68份,快来领取优惠券 新人立减5元 免费配送,28532,4254,2026-08-01
P0008,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩15份,快来领取优惠券 新人立减5元 免费配送,10547,3589,2026-08-01
P0008,短信,限时秒杀 免费麦辣鸡腿堡 仅剩55份,快来领取优惠券 新人立减5元 免费配送,6507,958,2026-08-01
P0008,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩9份,快来领取优惠券 新人立减5元 免费配送,7501,3501,2026-08-01
P0008,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩94份,快来领取优惠券 新人立减5元 免费配送,3012,3759,2026-08-01
P0008,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩88份,快来领取优惠券 新人立减5元 免费配送,28329,346,2026-08-01
P0008,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩42份,快来领取优惠券 新人立减5元 免费配送,48352,2169,2026-08-01
P0008,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩46份,快来领取优惠券 新人立减5元 免费配送,5609,1094,2026-08-01
P0008,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩89份,快来领取优惠券 新人立减5元 免费配送,2925,2929,2026-08-01
P0008,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩23份,快来领取优惠券 新人立减5元 免费配送,1653,1988,2026-08-01
P0008,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩10份,快来领取优惠券 新人立减5元 免费配送,40098,1273,2026-08-01
P0008,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩1份,快来领取优惠券 新人立减5元 免费配送,14421,1109,2026-08-01
P0008,短信,限时秒杀 免费麦辣鸡腿堡 仅剩1份,快来领取优惠券 新人立减5元 免费配送,20219,3123,2026-08-01
P0008,短信,限时秒杀 免费麦辣鸡腿堡 仅剩4份,快来领取优惠券 新人立减5元 免费配送,40639,2007,2026-08-01
P0008,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩24份,快来领取优惠券 新人立减5元 免费配送,30756,1020,2026-08-01
P0009,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩45份,快来领取优惠券 新人立减5元 免费配送,47365,2215,2026-08-01
P0009,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩4份,快来领取优惠券 新人立减5元 免费配送,14639,3067,2026-08-01
P0009,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩61份,快来领取优惠券 新人立减5元 免费配送,20177,2527,2026-08-01
P0009,短信,限时秒杀 免费麦辣鸡腿堡 仅剩82份,快来领取优惠券 新人立减5元 免费配送,22429,1607,2026-08-01
P0009,短信,限时秒杀 免费麦辣鸡腿堡 仅剩11份,快来领取优惠券 新人立减5元 免费配送,7722,4468,2026-08-01
P0009,短信,限时秒杀 免费麦辣鸡腿堡 仅剩40份,快来领取优惠券 新人立减5元 免费配送,11250,3185,2026-08-01
P0009,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩17份,快来领取优惠券 新人立减5元 免费配送,15602,2687,2026-08-01
P0009,短信,限时秒杀 免费麦辣鸡腿堡 仅剩32份,快来领取优惠券 新人立减5元 免费配送,16509,1606,2026-08-01
P0009,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩48份,快来领取优惠券 新人立减5元 免费配送,28511,478,2026-08-01
P0009,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩77份,快来领取优惠券 新人立减5元 免费配送,2346,3326,2026-08-01
P0009,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩90份,快来领取优惠券 新人立减5元 免费配送,5797,1181,2026-08-01
P0009,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩39份,快来领取优惠券 新人立减5元 免费配送,37095,3514,2026-08-01
P0009,短信,限时秒杀 免费麦辣鸡腿堡 仅剩19份,快来领取优惠券 新人立减5元 免费配送,39736,3558,2026-08-01
P0009,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩82份,快来领取优惠券 新人立减5元 免费配送,24236,792,2026-08-01
P0009,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩57份,快来领取优惠券 新人立减5元 免费配送,42469,3124,2026-08-01
P0009,短信,限时秒杀 免费麦辣鸡腿堡 仅剩68份,快来领取优惠券 新人立减5元 免费配送,4791,3183,2026-08-01
P0009,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩2份,快来领取优惠券 新人立减5元 免费配送,28343,2726,2026-08-01
